condition,condition_label,mean_delta,se,ci_low,ci_high,realized_spread,effective_spread,venue_a_flow_share,avg_profit,seeds
neutral_vs_neutral,two neutral venues,0.7257844201412765,0.027299765420888397,0.6740050691647342,0.7783260795989303,0.6011944999999999,0.6011944999999999,0.5523559999999998,0.13137596151180286,20
maker_rebate_vs_neutral,maker-rebate venue vs neutral,0.5830274088394274,0.02761656911665753,0.535729612802057,0.6397614469375429,0.3865708,0.3865708,0.9630445,0.15569532882106507,20
taker_fee_vs_neutral,taker-fee venue vs neutral,0.7734220150024722,0.021393124420955763,0.734454722018466,0.8160970744435406,0.6335027999999999,0.6369771999999999,0.017372,0.13731204461535607,20
maker_taker_vs_neutral,maker-taker venue vs neutral,0.6407600769548838,0.015774741427030732,0.6127326606180528,0.6735116549305591,0.4130992,0.5301991,0.5854995,0.12085231315829573,20
same_net_maker_heavy_vs_neutral,same-net maker-heavy vs neutral,0.679047606747465,0.02084030603530008,0.641794177580258,0.7186267889044806,0.53088275,0.5947237999999999,0.2128035,0.1255521240760697,20
same_net_taker_heavy_vs_neutral,same-net taker-heavy vs neutral,0.707116653792466,0.024349244102894237,0.6601632795042777,0.7516091210655624,0.5821282999999999,0.5971158499999999,0.09991700000000002,0.12904978587831142,20
two_identical_maker_taker,two identical maker-taker venues,0.5272783698770089,0.027929810315641176,0.4797591882830946,0.5838084628527493,0.345055,0.5450550000000002,0.5415965,0.12236733588094853,20
