sweep,maker_rebate,tie_rule,tick_size,seed,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread
baseline,0.0,split,,6,0.7588178823443988,0.5999974999999997,0.12231156564768311,0.2,1.0
baseline,0.0,split,,8,0.9257062233017667,0.7999906250000004,0.14750516453740245,0.2,1.0
rebate,0.1,split,,17,0.8448859430180903,0.5999849999999998,0.15038296217172106,0.1,1.0
baseline,0.0,split,,13,0.925154360609395,0.7990587500000004,0.14742185489914938,0.2,1.0
rebate,0.4,split,,13,1.0043195690605464,0.7997775000000004,0.23742819300358486,0.1,0.8
tick_size,0.0,split,0.5,10,0.5149168019795972,0.8499999999999999,0.14208150942250142,0.6,1.1
tick_size,0.0,split,0.5,1,1.0003179849616501,1.0985562500000001,0.1608400442551779,0.6,1.1
baseline,0.0,split,,2,0.7605233538845254,0.6000018749999998,0.12256902501035218,0.2,1.0
rebate,0.05,split,,3,0.9353831944393437,0.7999750000000003,0.1588913082429581,0.2,1.0
tick_size,0.0,split,0.5,6,0.515299191042506,0.8500062499999999,0.14209628701021174,0.6,1.1
tick_size,0.0,split,0.3,10,0.8608275187052906,0.8500074999999999,0.14838709137033507,0.4,1.3
tick_size,0.0,split,0.5,3,0.5041702842889411,0.8499999999999999,0.14166620568304267,0.6,1.1
tick_size,0.0,split,0.15,4,0.7906981587845685,1.0562284374999997,0.13335860924099188,0.25,1.15
tick_size,0.0,split,0.4,8,0.5061688882727364,0.8999925000000001,0.13171447184771728,0.5,1.3
baseline,0.0,split,,12,0.924887714025688,0.7999831250000004,0.14738160171527392,0.2,1.0
tick_size,0.0,split,0.4,11,0.9130687893456093,0.8999775,0.15479758608822905,0.5,1.3
tick_size,0.0,split,0.4,12,1.0011737707936554,1.3000000000000005,0.15979571301468212,0.5,1.3
tick_size,0.0,split,0.4,15,1.001348445859076,1.2999500000000006,0.15980562219499758,0.5,1.3
tick_size,0.0,split,0.3,13,0.9907055329401773,0.9999775,0.15897166175383243,0.4,1.3
rebate,0.3,split,,15,0.7076823172742993,0.4000000000000002,0.17967669276312428,0.1,0.8
tick_size,0.0,split,0.15,16,0.6554805796776229,0.9250028125000003,0.1154039085331367,0.25,1.15
rebate,0.4,split,,6,0.3244881384957318,0.19999812500000008,0.17182010909425469,0.1,0.8
tick_size,0.0,split,0.15,9,0.9566506767260478,0.975356875,0.1553944111761648,0.25,1.15
tick_size,0.0,split,0.4,17,0.9138936136274475,0.8999925000000001,0.15484437772685028,0.5,1.3
rebate,0.4,split,,14,0.7484410805733372,0.40001125000000015,0.2127342812653266,0.1,0.8
rebate,0.4,split,,9,0.957090382055635,0.5999999999999998,0.2328702741950748,0.1,0.8
rebate,0.4,split,,8,0.38014455016860527,0.25001812500000004,0.17719130901670072,0.1,0.8
tick_size,0.0,split,0.2,9,0.7472279010128706,0.9,0.13202364300898659,0.3,1.1
rebate,0.2,split,,7,0.8761962736619949,0.5999943749999996,0.1774966784639113,0.1,1.0
rebate,0.2,split,,4,0.8737646557264859,0.5999881249999997,0.17714290876070599,0.1,1.0
rebate,0.2,split,,15,0.9800049043462737,0.7999850000000003,0.19259952333564787,0.1,1.0
tick_size,0.0,split,0.5,17,0.513215122358837,0.8499999999999999,0.1420157472909714,0.6,1.1
tick_size,0.0,split,0.5,12,0.5154805804638297,0.8500062499999999,0.14210329688142234,0.6,1.1
tick_size,0.0,split,0.5,18,1.0009828882101324,1.0999625000000002,0.16086573972355395,0.6,1.1
tick_size,0.0,split,0.3,5,0.9925591126556551,0.9999662500000001,0.1591227215392432,0.4,1.3
tick_size,0.0,split,0.5,2,1.0011416503139876,1.1,0.16087187515247273,0.6,1.1
tick_size,0.0,split,0.5,4,1.007652046719135,1.09999375,0.16112347218606504,0.6,1.1
tick_size,0.0,split,0.5,0,0.5072208957204142,0.8500031249999999,0.14178409785719578,0.6,1.1
tick_size,0.0,split,0.5,5,1.0073482849869102,1.0999906250000002,0.1611117331849366,0.6,1.1
tick_size,0.0,split,0.4,14,0.9125106800805666,0.8999925000000001,0.15476592498462666,0.5,1.3
tick_size,0.0,split,0.4,0,0.9114524318332169,0.899975,0.15470589138637808,0.5,1.3
tick_size,0.0,split,0.5,8,1.0036347273684376,1.0999687500000002,0.16096822117387946,0.6,1.1
tick_size,0.0,split,0.5,14,1.0092844559946275,1.0999375000000002,0.16118655733568785,0.6,1.1
tick_size,0.0,split,0.4,18,0.9136387775637812,0.9,0.15482992107558372,0.5,1.3
tick_size,0.0,split,0.4,5,0.909584693119591,0.899985,0.15459993602491356,0.5,1.3
tick_size,0.0,split,0.4,4,0.9045260557741513,0.8999650000000001,0.1543129634711277,0.5,1.3
tick_size,0.0,split,0.4,7,0.017662931918350097,0.5000025,0.10400190969676396,0.5,1.3
tick_size,0.0,split,0.2,18,0.8976046469276476,0.9,0.14915950862251315,0.3,1.1
tick_size,0.0,split,0.4,10,0.9087811640752221,0.9000025000000001,0.15455435244851595,0.5,1.3
tick_size,0.0,split,0.4,13,0.9082174117014856,0.9,0.15452237121575574,0.5,1.3
tick_size,0.0,split,0.4,2,0.9117909369658382,0.8999875,0.15472509451871283,0.5,1.3
tick_size,0.0,split,0.5,9,0.3641764401166444,1.0999906250000002,0.136256084129294,0.6,1.1
tick_size,0.0,split,0.5,19,1.009279187747739,1.0999625000000002,0.1611863537420498,0.6,1.1
tick_size,0.0,split,0.5,7,1.0095258176110173,1.1,0.16119588485784284,0.6,1.1
tick_size,0.0,split,0.5,11,0.01810427213603848,0.6000031249999997,0.12288197824475171,0.6,1.1
tick_size,0.0,split,0.3,9,0.7196769665824059,0.6999981249999997,0.13688385148469723,0.4,1.3
tick_size,0.0,split,0.15,19,0.7201906784125813,0.9892290625,0.12399635977531588,0.25,1.15
rebate,0.4,split,,3,0.3865827147284572,0.25000937500000003,0.1778126331003988,0.1,0.8
tick_size,0.0,split,0.3,4,0.7226172998570293,0.7000449999999997,0.13712347760371,0.4,1.3
tick_size,0.0,split,0.3,8,0.7221218569246994,0.7000018749999998,0.13708310086543643,0.4,1.3
