sweep,n_makers,adverse_frac,adverse_cost,elasticity,epsilon_decay,alpha,maker_rebate,taker_fee,tie_rule,tick_size,memory,priority_share,allocation_noise,maker_rebates,maker_costs,latency_cost,seed,periods,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread,punishment_magnitude,fee_condition,net_fee,heterogeneity
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,2,50000,0.3671062261961214,0.676277,0.08668135480685459,0.2,1.0,-0.4999999999999999,,,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,0,50000,0.37238653166138475,0.6749539999999999,0.08733932950405077,0.2,1.0,0.5,,,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,1,50000,0.3808967229320374,0.6794910000000001,0.08839977772266722,0.2,1.0,-0.8823529411764705,,,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,3,50000,0.33721321278863653,0.652598,0.08295640999552442,0.2,1.0,-0.7142857142857143,,,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,4,50000,0.37261344280626674,0.6742619999999999,0.08736760472275286,0.2,1.0,0.14285714285714282,,,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,random_priority,,1,0.7,12.0,,,0.0,0,50000,0.38770649428888904,0.683082,0.08924833795767176,0.2,1.0,0.0,,,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,random_priority,,1,0.7,12.0,,,0.0,1,50000,0.38555099907425633,0.6841189999999999,0.08897974339993531,0.2,1.0,-0.3333333333333334,,,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,random_priority,,1,0.7,12.0,,,0.0,2,50000,0.3895378442299364,0.6874560000000001,0.08947654102865844,0.2,1.0,-0.8823529411764708,,,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,random_priority,,1,0.7,12.0,,,0.0,3,50000,0.3575275861186003,0.671277,0.0854877680255558,0.2,1.0,0.4,,,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,random_priority,,1,0.7,12.0,,,0.0,4,50000,0.39094025503224855,0.6811010000000002,0.08965129433205468,0.2,1.0,0.15789473684210528,,,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,pro_rata_noise,,1,0.7,12.0,,,0.0,0,50000,0.3796498303474018,0.6812609999999998,0.08824440342165206,0.2,1.0,-0.3333333333333335,,,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,pro_rata_noise,,1,0.7,12.0,,,0.0,1,50000,0.3922940345648117,0.6933129999999998,0.08981998773130373,0.2,1.0,-1.6666666666666667,,,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,pro_rata_noise,,1,0.7,12.0,,,0.0,2,50000,0.3756357182883187,0.6749700000000002,0.08774420808561292,0.2,1.0,-0.3333333333333335,,,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,pro_rata_noise,,1,0.7,12.0,,,0.0,3,50000,0.3839289435045426,0.6795810000000001,0.08877762033540072,0.2,1.0,-0.33333333333333326,,,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,queue_priority,,1,0.7,12.0,,,0.0,0,50000,0.36716305853680403,0.67363,0.08668843663997913,0.2,1.0,-0.3333333333333335,,,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,pro_rata_noise,,1,0.7,12.0,,,0.0,4,50000,0.36201557866264317,0.663813,0.08604701323487401,0.2,1.0,0.33333333333333326,,,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,queue_priority,,1,0.7,12.0,,,0.0,2,50000,0.3861920578531817,0.683785,0.08905962522850057,0.2,1.0,-0.846153846153846,,,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,queue_priority,,1,0.7,12.0,,,0.0,1,50000,0.3647238749911995,0.6720470000000001,0.08638449190318634,0.2,1.0,-0.4999999999999999,,,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,queue_priority,,1,0.7,12.0,,,0.0,3,50000,0.330760271128371,0.6519930000000002,0.0821523140274276,0.2,1.0,-0.7142857142857141,,,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,queue_priority,,1,0.7,12.0,,,0.0,4,50000,0.37249205315826645,0.6742679999999999,0.08735247845450736,0.2,1.0,-0.06666666666666672,,,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,winner_take_all,,1,0.7,12.0,,,0.0,0,50000,0.3701002826098533,0.6775490000000001,0.08705444181387971,0.2,1.0,0.05882352941176463,,,
