suite,condition,condition_label,maker_rebates,taker_fees,n_makers,tie_rule,seed,periods,maker_rebate_a,maker_rebate_b,taker_fee_a,taker_fee_b,avg_profit,collusion_index,realized_spread,effective_spread,venue_a_flow_share,nash_spread,nash_effective_spread,nash_venue,monopoly_spread,monopoly_effective_spread,monopoly_venue
two_venue_routing,neutral_vs_neutral,two neutral venues,"(0.0, 0.0)","(0.0, 0.0)",2,split,19,500000,0.0,0.0,0.0,0.0,0.137155478032387,0.772165554249115,0.5997919999999999,0.5997919999999999,0.99915,0.2,0.2,0,1.0,1.0,0
two_venue_routing,maker_rebate_vs_neutral,maker-rebate venue vs neutral,"(0.2, 0.0)","(0.0, 0.0)",2,split,0,500000,0.2,0.0,0.0,0.0,0.15194003714435134,0.5494530384576093,0.36666600000000005,0.36666600000000005,0.99974,0.1,0.1,0,1.0,1.0,0
two_venue_routing,maker_rebate_vs_neutral,maker-rebate venue vs neutral,"(0.2, 0.0)","(0.0, 0.0)",2,split,1,500000,0.2,0.0,0.0,0.0,0.19200838983882687,0.9076861212020355,0.5995779999999998,0.5995779999999998,0.99993,0.1,0.1,0,1.0,1.0,0
two_venue_routing,maker_rebate_vs_neutral,maker-rebate venue vs neutral,"(0.2, 0.0)","(0.0, 0.0)",2,split,2,500000,0.2,0.0,0.0,0.0,0.16754461177994223,0.6889665073353539,0.3999020000000001,0.3999020000000001,0.99989,0.1,0.1,0,1.0,1.0,0
two_venue_routing,maker_rebate_vs_neutral,maker-rebate venue vs neutral,"(0.2, 0.0)","(0.0, 0.0)",2,split,3,500000,0.2,0.0,0.0,0.0,0.15784514178397657,0.6022479176260016,0.34993399999999997,0.34993399999999997,0.99988,0.1,0.1,0,1.0,1.0,0
two_venue_routing,maker_rebate_vs_neutral,maker-rebate venue vs neutral,"(0.2, 0.0)","(0.0, 0.0)",2,split,4,500000,0.2,0.0,0.0,0.0,0.15345994509694028,0.5630418504433532,0.499784,0.499784,0.68763,0.1,0.1,0,1.0,1.0,0
two_venue_routing,maker_rebate_vs_neutral,maker-rebate venue vs neutral,"(0.2, 0.0)","(0.0, 0.0)",2,split,5,500000,0.2,0.0,0.0,0.0,0.14293578551725605,0.4689500828513111,0.28332,0.28332,0.99992,0.1,0.1,0,1.0,1.0,0
two_venue_routing,maker_rebate_vs_neutral,maker-rebate venue vs neutral,"(0.2, 0.0)","(0.0, 0.0)",2,split,6,500000,0.2,0.0,0.0,0.0,0.1514226443105124,0.5448272623177891,0.385716,0.385716,0.99987,0.1,0.1,0,1.0,1.0,0
two_venue_routing,maker_rebate_vs_neutral,maker-rebate venue vs neutral,"(0.2, 0.0)","(0.0, 0.0)",2,split,7,500000,0.2,0.0,0.0,0.0,0.1460383709965528,0.4966889012949207,0.31669,0.31669,0.99991,0.1,0.1,0,1.0,1.0,0
two_venue_routing,maker_rebate_vs_neutral,maker-rebate venue vs neutral,"(0.2, 0.0)","(0.0, 0.0)",2,split,8,500000,0.2,0.0,0.0,0.0,0.14644914024937952,0.5003614040518665,0.32494799999999996,0.32494799999999996,0.99992,0.1,0.1,0,1.0,1.0,0
two_venue_routing,maker_rebate_vs_neutral,maker-rebate venue vs neutral,"(0.2, 0.0)","(0.0, 0.0)",2,split,9,500000,0.2,0.0,0.0,0.0,0.19203831956017567,0.9079537093513715,0.5998219999999999,0.5998219999999999,0.99983,0.1,0.1,0,1.0,1.0,0
two_venue_routing,maker_rebate_vs_neutral,maker-rebate venue vs neutral,"(0.2, 0.0)","(0.0, 0.0)",2,split,10,500000,0.2,0.0,0.0,0.0,0.14814631177513823,0.5155350497531141,0.2999899999999999,0.2999899999999999,0.9999,0.1,0.1,0,1.0,1.0,0
two_venue_routing,maker_rebate_vs_neutral,maker-rebate venue vs neutral,"(0.2, 0.0)","(0.0, 0.0)",2,split,11,500000,0.2,0.0,0.0,0.0,0.15194418395804016,0.5494901132498434,0.43988,0.43988,0.7001,0.1,0.1,0,1.0,1.0,0
two_venue_routing,maker_rebate_vs_neutral,maker-rebate venue vs neutral,"(0.2, 0.0)","(0.0, 0.0)",2,split,12,500000,0.2,0.0,0.0,0.0,0.15573771425180133,0.5834063578726427,0.38742799999999994,0.38742799999999994,0.99998,0.1,0.1,0,1.0,1.0,0
two_venue_routing,maker_rebate_vs_neutral,maker-rebate venue vs neutral,"(0.2, 0.0)","(0.0, 0.0)",2,split,13,500000,0.2,0.0,0.0,0.0,0.1565652504982765,0.5908049864840561,0.41424199999999994,0.41424199999999994,0.99998,0.1,0.1,0,1.0,1.0,0
two_venue_routing,maker_rebate_vs_neutral,maker-rebate venue vs neutral,"(0.2, 0.0)","(0.0, 0.0)",2,split,14,500000,0.2,0.0,0.0,0.0,0.14815221387537972,0.5155878177713128,0.2999939999999999,0.2999939999999999,0.99993,0.1,0.1,0,1.0,1.0,0
two_venue_routing,maker_rebate_vs_neutral,maker-rebate venue vs neutral,"(0.2, 0.0)","(0.0, 0.0)",2,split,15,500000,0.2,0.0,0.0,0.0,0.1531659380108536,0.5604132655948411,0.437396,0.437396,0.87501,0.1,0.1,0,1.0,1.0,0
two_venue_routing,maker_rebate_vs_neutral,maker-rebate venue vs neutral,"(0.2, 0.0)","(0.0, 0.0)",2,split,16,500000,0.2,0.0,0.0,0.0,0.156099728878321,0.5866429674893539,0.41108399999999995,0.41108399999999995,1.0,0.1,0.1,0,1.0,1.0,0
two_venue_routing,maker_rebate_vs_neutral,maker-rebate venue vs neutral,"(0.2, 0.0)","(0.0, 0.0)",2,split,17,500000,0.2,0.0,0.0,0.0,0.14616726785056347,0.4978413099731707,0.29999800000000004,0.29999800000000004,0.99983,0.1,0.1,0,1.0,1.0,0
two_venue_routing,maker_rebate_vs_neutral,maker-rebate venue vs neutral,"(0.2, 0.0)","(0.0, 0.0)",2,split,18,500000,0.2,0.0,0.0,0.0,0.1559198071215639,0.5850343681524319,0.3400559999999999,0.3400559999999999,0.99979,0.1,0.1,0,1.0,1.0,0
two_venue_routing,maker_rebate_vs_neutral,maker-rebate venue vs neutral,"(0.2, 0.0)","(0.0, 0.0)",2,split,19,500000,0.2,0.0,0.0,0.0,0.14032577392344966,0.4456151455161691,0.274988,0.274988,0.99985,0.1,0.1,0,1.0,1.0,0
two_venue_routing,taker_fee_vs_neutral,taker-fee venue vs neutral,"(0.0, 0.0)","(0.2, 0.0)",2,split,0,500000,0.0,0.0,0.2,0.0,0.12198008024321916,0.6503816372912911,0.5428179999999999,0.542832,7e-05,0.2,0.2,1,1.0,1.0,1
two_venue_routing,taker_fee_vs_neutral,taker-fee venue vs neutral,"(0.0, 0.0)","(0.2, 0.0)",2,split,1,500000,0.0,0.0,0.2,0.0,0.11691189810879159,0.6097090248984333,0.571352,0.5999240000000001,0.14286,0.2,0.2,1,1.0,1.0,1
two_venue_routing,taker_fee_vs_neutral,taker-fee venue vs neutral,"(0.0, 0.0)","(0.2, 0.0)",2,split,2,500000,0.0,0.0,0.2,0.0,0.13719011224824523,0.7724434969117441,0.5999399999999998,0.5999439999999999,2e-05,0.2,0.2,1,1.0,1.0,1
two_venue_routing,taker_fee_vs_neutral,taker-fee venue vs neutral,"(0.0, 0.0)","(0.2, 0.0)",2,split,3,500000,0.0,0.0,0.2,0.0,0.13716640922249138,0.7722532780219226,0.5998679999999998,0.5998979999999998,0.00015,0.2,0.2,1,1.0,1.0,1
two_venue_routing,taker_fee_vs_neutral,taker-fee venue vs neutral,"(0.0, 0.0)","(0.2, 0.0)",2,split,4,500000,0.0,0.0,0.2,0.0,0.15720003907725735,0.9330249393972906,0.7995900000000001,0.7996320000000001,0.00021,0.2,0.2,1,1.0,1.0,1
two_venue_routing,taker_fee_vs_neutral,taker-fee venue vs neutral,"(0.0, 0.0)","(0.2, 0.0)",2,split,5,500000,0.0,0.0,0.2,0.0,0.13718169531520816,0.7723759502755196,0.5999159999999999,0.5999559999999998,0.0002,0.2,0.2,1,1.0,1.0,1
two_venue_routing,taker_fee_vs_neutral,taker-fee venue vs neutral,"(0.0, 0.0)","(0.2, 0.0)",2,split,6,500000,0.0,0.0,0.2,0.0,0.15722537086131744,0.9332282292173815,0.7997560000000002,0.7997760000000002,0.0001,0.2,0.2,1,1.0,1.0,1
two_venue_routing,taker_fee_vs_neutral,taker-fee venue vs neutral,"(0.0, 0.0)","(0.2, 0.0)",2,split,7,500000,0.0,0.0,0.2,0.0,0.13717773219276702,0.7723441458654494,0.5998899999999998,0.5998999999999999,5e-05,0.2,0.2,1,1.0,1.0,1
two_venue_routing,taker_fee_vs_neutral,taker-fee venue vs neutral,"(0.0, 0.0)","(0.2, 0.0)",2,split,8,500000,0.0,0.0,0.2,0.0,0.13717660992373792,0.7723351395566763,0.5998819999999998,0.5999059999999998,0.00012,0.2,0.2,1,1.0,1.0,1
two_venue_routing,taker_fee_vs_neutral,taker-fee venue vs neutral,"(0.0, 0.0)","(0.2, 0.0)",2,split,9,500000,0.0,0.0,0.2,0.0,0.12634043648421459,0.6853738839353268,0.578826,0.5794020000000001,0.00288,0.2,0.2,1,1.0,1.0,1
two_venue_routing,taker_fee_vs_neutral,taker-fee venue vs neutral,"(0.0, 0.0)","(0.2, 0.0)",2,split,10,500000,0.0,0.0,0.2,0.0,0.1188611998332332,0.6253523446079563,0.499958,0.49999,0.00016,0.2,0.2,1,1.0,1.0,1
two_venue_routing,taker_fee_vs_neutral,taker-fee venue vs neutral,"(0.0, 0.0)","(0.2, 0.0)",2,split,11,500000,0.0,0.0,0.2,0.0,0.1361769127250551,0.7643124806241863,0.6798220000000001,0.7198220000000001,0.2,0.2,0.2,1,1.0,1.0,1
two_venue_routing,taker_fee_vs_neutral,taker-fee venue vs neutral,"(0.0, 0.0)","(0.2, 0.0)",2,split,12,500000,0.0,0.0,0.2,0.0,0.13714039268346728,0.7720444929823435,0.5997779999999998,0.5998019999999997,0.00012,0.2,0.2,1,1.0,1.0,1
two_venue_routing,taker_fee_vs_neutral,taker-fee venue vs neutral,"(0.0, 0.0)","(0.2, 0.0)",2,split,13,500000,0.0,0.0,0.2,0.0,0.1655036425284118,0.9996620956152262,0.99965,0.99968,0.00015,0.2,0.2,1,1.0,1.0,1
two_venue_routing,taker_fee_vs_neutral,taker-fee venue vs neutral,"(0.0, 0.0)","(0.2, 0.0)",2,split,14,500000,0.0,0.0,0.2,0.0,0.13719149823091367,0.7724546195459276,0.5999519999999997,0.5999579999999998,3e-05,0.2,0.2,1,1.0,1.0,1
