sweep,n_makers,adverse_frac,adverse_cost,elasticity,epsilon_decay,alpha,maker_rebate,tie_rule,tick_size,seed,periods,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread,punishment_magnitude
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.1,split,,10,500000,0.640342691298841,0.40005700000000005,0.13405602524576346,0.1,1.0,0.7500000000000001
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.4,split,,2,500000,-4.1950014725502466e-16,0.10025300000000002,0.1809674836071919,0.1,0.8,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,16,500000,0.9332993156981436,0.7999120000000001,0.15723422889158897,0.2,1.0,0.25000000000000006
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.4,split,,8,500000,0.1884080943081812,0.17062300000000002,0.19343321250475104,0.1,0.8,-0.4999999999999999
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.2,split,,2,500000,0.6891073417800829,0.3999960000000001,0.16756036410566186,0.1,1.0,0.7500000000000001
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.4,split,,10,500000,1.2477579292718339e-05,0.10007800000000001,0.18096830916684387,0.1,0.8,0.0
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.4,16,500000,2.104325051539247e-06,0.5000720000000001,0.121306220772282,0.5,1.3,0.0
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.5,3,500000,-0.00028160906992514027,0.6000499999999998,0.13719467684896514,0.6,1.1,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.3,split,,5,500000,-6.241495044286846e-16,0.10041000000000004,0.13572561270539388,0.1,0.8,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.1,split,,4,500000,0.8606315882152105,0.5999189999999998,0.16460962155730732,0.1,1.0,0.8333333333333334
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.3,split,,10,500000,3.0029740014947015e-05,0.10017799999999999,0.13572828351651783,0.1,0.8,0.0
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.5,18,500000,-9.386968997599622e-05,0.6000199999999997,0.13720016496532608,0.6,1.1,0.0
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.4,12,500000,0.9785953032536763,0.8999720000000002,0.16261552055793194,0.5,1.3,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.1,split,,11,500000,0.8606762278699284,0.5999049999999998,0.16461581298142733,0.1,1.0,0.8333333333333334
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.5,16,500000,-0.00028160906992514027,0.6000049999999997,0.13719467684896514,0.6,1.1,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.05,split,,12,500000,0.8431530096594384,0.5999419999999999,0.15088288820154025,0.1,1.0,0.5
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.5,12,500000,-0.00018773937995104299,0.6000849999999998,0.1371974209071456,0.6,1.1,0.0
