sweep,n_makers,adverse_frac,adverse_cost,elasticity,epsilon_decay,alpha,maker_rebate,tie_rule,tick_size,memory,seed,periods,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread,punishment_magnitude
longtrain,4,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,11,5000000,-1.1137048144804214e-16,0.26346,0.02046826882694954,0.2,1.0,
longtrain,4,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,9,5000000,0.049873847881097895,0.3250000000000001,0.023575639240787608,0.2,1.0,
longtrain,4,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,4,5000000,0.018055516616972668,0.370191,0.021593210665724456,0.2,1.0,
longtrain,4,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,1,5000000,0.03129151714523916,0.38823549999999996,0.02241787445619706,0.2,1.0,
longtrain,4,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,8,5000000,0.026599385536585515,0.30249999999999994,0.02212553304766318,0.2,1.0,
longtrain,4,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,7,5000000,0.041995109885161176,0.38814450000000006,0.023084757578612225,0.2,1.0,
longtrain,4,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,2,5000000,0.07599444447802482,0.33571449999999997,0.02520307270552839,0.2,1.0,
longtrain,4,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,6,5000000,-1.1137048144804214e-16,0.41817800000000005,0.02046826882694954,0.2,1.0,
longtrain,4,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,5,5000000,-1.1137048144804214e-16,0.41249800000000003,0.02046826882694954,0.2,1.0,
longtrain,4,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,0,5000000,0.029551917331146565,0.29444600000000004,0.022309489376162395,0.2,1.0,
longtrain,4,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,10,5000000,0.08867171162476167,0.3562535,0.025992924833120518,0.2,1.0,
longtrain,4,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,3,5000000,0.03546762067448309,0.30999750000000015,0.0226780649388491,0.2,1.0,
longtrain,5,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,9,10000000,-0.002248533976588855,0.7004984000000001,0.016262539843781867,0.2,1.0,
longtrain,5,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,7,10000000,-0.011617636914010835,0.6507547999999999,0.015795549234332906,0.2,1.0,
longtrain,5,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,3,10000000,-1.3921310181005267e-16,0.672,0.01637461506155963,0.2,1.0,
longtrain,5,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,0,10000000,0.051888264675511137,0.7183027999999999,0.018960917347478748,0.2,1.0,
longtrain,5,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,5,10000000,-0.01528107215059818,0.6590611999999998,0.015612950124766344,0.2,1.0,
longtrain,5,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,2,10000000,0.016497868037508683,0.6987492,0.017196929588457626,0.2,1.0,
longtrain,5,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,4,10000000,0.001022335027644523,0.7020264000000003,0.016425572005976784,0.2,1.0,
longtrain,5,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,11,10000000,0.027521470735073984,0.6995083999999999,0.017746386561707163,0.2,1.0,
longtrain,5,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,6,10000000,-0.05268578549422008,0.6549968,0.013748561399690804,0.2,1.0,
longtrain,5,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,1,10000000,0.0019089226103934178,0.7153892000000002,0.01646976279759933,0.2,1.0,
longtrain,5,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,8,10000000,0.012164464967197546,0.6280832,0.01698093681366275,0.2,1.0,
longtrain,5,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,10,10000000,-0.0011737024753780915,0.6400088,0.0163161134058569,0.2,1.0,
