sweep,fee_condition,maker_rebate,taker_fee,net_fee,tie_rule,tick_size,seed,periods,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread
fee_incidence,baseline,0.0,0.0,0.0,split,,8,800000,0.9257062233017667,0.7999906250000004,0.14750516453740245,0.2,1.0
fee_incidence,baseline,0.0,0.0,0.0,split,,12,800000,0.924887714025688,0.7999831250000004,0.14738160171527392,0.2,1.0
fee_incidence,same_net_taker_only_10,0.0,0.1,0.1,split,,10,800000,0.8820375020036398,0.7999900000000002,0.128335910032328,0.2,1.0
fee_incidence,maker_rebate_only,0.2,0.0,-0.2,split,,6,800000,0.9374230212762551,0.7999918750000002,0.18640439707192852,0.1,1.0
fee_incidence,symmetric_fee_rebate,0.2,0.2,0.0,split,,4,800000,0.878761568436744,0.5999681249999997,0.14720547547225063,0.1,1.0
fee_incidence,baseline,0.0,0.0,0.0,split,,0,800000,0.9249443745564421,0.7999925000000003,0.14739015523480983,0.2,1.0
fee_incidence,same_net_taker_only_10,0.0,0.1,0.1,split,,15,800000,0.9275309470164033,0.7999868750000003,0.13444796585022906,0.2,1.0
fee_incidence,taker_fee_only,0.0,0.2,0.2,split,,14,800000,1.000765086646572,0.999994375,0.13101977987009172,0.2,1.0
fee_incidence,same_net_taker_only_10,0.0,0.1,0.1,split,,13,800000,0.8132641609512902,0.9666437500000001,0.1190961943067421,0.2,1.0
fee_incidence,same_net_maker_heavy_10,0.2,0.3,0.09999999999999998,split,,4,800000,0.8810972471495616,0.5999706249999998,0.13404750254411987,0.1,1.0
fee_incidence,symmetric_fee_rebate,0.2,0.2,0.0,split,,2,800000,0.662987151958713,0.4000118750000002,0.12256991929041003,0.1,1.0
fee_incidence,same_net_taker_only_10,0.0,0.1,0.1,split,,9,800000,0.9284454610763133,0.8000000000000004,0.13457083104495893,0.2,1.0
fee_incidence,maker_rebate_only,0.2,0.0,-0.2,split,,11,800000,0.7341678621532709,0.5999856249999997,0.1568333381206668,0.1,1.0
fee_incidence,maker_rebate_only,0.2,0.0,-0.2,split,,13,800000,0.9761193192982469,0.7981125000000003,0.19203421977823204,0.1,1.0
fee_incidence,same_net_maker_heavy_10,0.2,0.3,0.09999999999999998,split,,11,800000,0.8849973025033832,0.5999537499999997,0.1344429122184953,0.1,1.0
fee_incidence,taker_fee_only,0.0,0.2,0.2,split,,0,800000,0.7532347310050714,0.5995212499999998,0.10138363843650346,0.2,1.0
fee_incidence,baseline,0.0,0.0,0.0,split,,6,800000,0.7588178823443988,0.5999974999999997,0.12231156564768311,0.2,1.0
fee_incidence,same_net_maker_heavy_10,0.2,0.3,0.09999999999999998,split,,3,800000,0.8848970896089369,0.5999943749999997,0.1344327520683522,0.1,1.0
fee_incidence,baseline,0.0,0.0,0.0,split,,3,800000,0.9267453802390174,0.7999925000000003,0.1476620365088678,0.2,1.0
fee_incidence,maker_rebate_only,0.2,0.0,-0.2,split,,19,800000,0.7707912976287726,0.49999875,0.16216158550251308,0.1,1.0
fee_incidence,same_net_taker_only_10,0.0,0.1,0.1,split,,6,800000,0.92460652977017,0.7999943750000003,0.1340550696552103,0.2,1.0
fee_incidence,same_net_taker_only_10,0.0,0.1,0.1,split,,18,800000,0.8811520993871347,0.7999981250000002,0.12821695596736596,0.2,1.0
fee_incidence,same_net_maker_heavy_10,0.2,0.3,0.09999999999999998,split,,8,800000,0.665976679051565,0.39999500000000016,0.11223736241374031,0.1,1.0
fee_incidence,baseline,0.0,0.0,0.0,split,,1,800000,0.7633429189811456,0.6000012499999997,0.12299466883711804,0.2,1.0
fee_incidence,baseline,0.0,0.0,0.0,split,,18,800000,0.8434105568756362,0.6999924999999998,0.13508174419294763,0.2,1.0
fee_incidence,same_net_maker_heavy_10,0.2,0.3,0.09999999999999998,split,,5,800000,0.6668329029424832,0.4000012500000002,0.11232417123545838,0.1,1.0
fee_incidence,symmetric_fee_rebate,0.2,0.2,0.0,split,,6,800000,0.6858382904254627,0.4499906249999999,0.1251788963633428,0.1,1.0
fee_incidence,same_net_taker_only_10,0.0,0.1,0.1,split,,12,800000,0.9256821327779479,0.7999887500000004,0.13419957719073758,0.2,1.0
fee_incidence,taker_fee_only,0.0,0.2,0.2,split,,3,800000,0.9279856658531304,0.7999500000000004,0.12230609623925284,0.2,1.0
fee_incidence,taker_fee_only,0.0,0.2,0.2,split,,17,800000,0.9283500517037775,0.7999631250000003,0.12234972317372797,0.2,1.0
fee_incidence,baseline,0.0,0.0,0.0,split,,4,800000,1.0003307721757477,0.999960625,0.15877054677364627,0.2,1.0
fee_incidence,maker_rebate_only,0.2,0.0,-0.2,split,,1,800000,0.8787580527879265,0.5999862499999997,0.17786938497665075,0.1,1.0
fee_incidence,baseline,0.0,0.0,0.0,split,,16,800000,0.7646658042249344,0.5999999999999998,0.12319437266314899,0.2,1.0
fee_incidence,baseline,0.0,0.0,0.0,split,,9,800000,0.96786798225193,1.5,0.1538699377587193,0.2,1.0
fee_incidence,maker_rebate_only,0.2,0.0,-0.2,split,,12,800000,0.8752510378081112,0.5999881249999997,0.17735915858358622,0.1,1.0
fee_incidence,same_net_taker_only_10,0.0,0.1,0.1,split,,3,800000,0.7635640733419775,0.5999962499999997,0.1124189749944331,0.2,1.0
fee_incidence,maker_rebate_only,0.2,0.0,-0.2,split,,8,800000,0.9788090537225681,0.7999368750000003,0.19242554217107086,0.1,1.0
fee_incidence,same_net_maker_heavy_10,0.2,0.3,0.09999999999999998,split,,14,800000,0.9813021036036211,0.7998456250000002,0.1442068377500962,0.1,1.0
fee_incidence,same_net_maker_heavy_10,0.2,0.3,0.09999999999999998,split,,6,800000,0.9814905411091376,0.7999931250000003,0.14422594261039604,0.1,1.0
fee_incidence,same_net_maker_heavy_10,0.2,0.3,0.09999999999999998,split,,10,800000,0.8845279952543772,0.5999924999999997,0.13439533119472094,0.1,1.0
fee_incidence,maker_rebate_only,0.2,0.0,-0.2,split,,2,800000,0.7671830680000492,0.5000100000000001,0.1616366336561685,0.1,1.0
fee_incidence,same_net_maker_heavy_10,0.2,0.3,0.09999999999999998,split,,15,800000,0.6125433552495868,0.39999687500000003,0.10681998977449457,0.1,1.0
fee_incidence,maker_rebate_only,0.2,0.0,-0.2,split,,3,800000,0.4950336902958354,0.62501375,0.12204233589582962,0.1,1.0
fee_incidence,taker_fee_only,0.0,0.2,0.2,split,,11,800000,0.7646785748184094,0.6000006249999997,0.10275377897105338,0.2,1.0
fee_incidence,taker_fee_only,0.0,0.2,0.2,split,,10,800000,0.7638701145265117,0.5999924999999997,0.10265698420221775,0.2,1.0
fee_incidence,maker_rebate_only,0.2,0.0,-0.2,split,,18,800000,0.8760378042529663,0.5999731249999997,0.1774736231660454,0.1,1.0
fee_incidence,same_net_taker_only_10,0.0,0.1,0.1,split,,2,800000,0.7615068125164954,0.6000099999999997,0.11214258148337233,0.2,1.0
fee_incidence,baseline,0.0,0.0,0.0,split,,15,800000,0.9267484745474786,0.7999762500000004,0.147662503628175,0.2,1.0
fee_incidence,maker_rebate_only,0.2,0.0,-0.2,split,,9,800000,0.5409202292774933,0.38473749999999995,0.1287182478635792,0.1,1.0
fee_incidence,baseline,0.0,0.0,0.0,split,,2,800000,0.7605233538845254,0.6000018749999998,0.12256902501035218,0.2,1.0
fee_incidence,maker_rebate_only,0.2,0.0,-0.2,split,,7,800000,0.8761962736619949,0.5999943749999996,0.1774966784639113,0.1,1.0
fee_incidence,taker_fee_only,0.0,0.2,0.2,split,,16,800000,0.929994793233558,0.7999950000000003,0.12254664363817747,0.2,1.0
fee_incidence,symmetric_fee_rebate,0.2,0.2,0.0,split,,17,800000,0.9832236914650795,0.7999525000000003,0.1591322022026224,0.1,1.0
fee_incidence,same_net_taker_only_10,0.0,0.1,0.1,split,,16,800000,1.004045114778858,0.999984375,0.14472766359774333,0.2,1.0
fee_incidence,baseline,0.0,0.0,0.0,split,,5,800000,0.8822925218590676,0.7999825000000004,0.1409513970651451,0.2,1.0
fee_incidence,symmetric_fee_rebate,0.2,0.2,0.0,split,,1,800000,0.741725726323734,0.5499943750000001,0.13155971800755778,0.1,1.0
fee_incidence,taker_fee_only,0.0,0.2,0.2,split,,6,800000,0.7608644159829064,0.6000056249999997,0.10229712002752224,0.2,1.0
fee_incidence,symmetric_fee_rebate,0.2,0.2,0.0,split,,5,800000,0.88210667321041,0.6000043749999997,0.14758739524722164,0.1,1.0
fee_incidence,same_net_taker_only_10,0.0,0.1,0.1,split,,8,800000,0.7611951742693659,0.5998893749999997,0.11210071280622742,0.2,1.0
fee_incidence,baseline,0.0,0.0,0.0,split,,7,800000,0.7608521152773813,0.5999987499999997,0.12261865509604013,0.2,1.0
fee_incidence,symmetric_fee_rebate,0.2,0.2,0.0,split,,18,800000,0.8810006537509628,0.5999874999999997,0.14746111797591133,0.1,1.0
fee_incidence,maker_rebate_only,0.2,0.0,-0.2,split,,5,800000,0.9794876470899344,0.7999856250000004,0.19252426893676236,0.1,1.0
fee_incidence,symmetric_fee_rebate,0.2,0.2,0.0,split,,8,800000,0.66114694058948,0.3995318750000002,0.12235981731764989,0.1,1.0
fee_incidence,symmetric_fee_rebate,0.2,0.2,0.0,split,,11,800000,0.4470293763821264,0.3499999999999998,0.09791342849802732,0.1,1.0
fee_incidence,taker_fee_only,0.0,0.2,0.2,split,,9,800000,0.9290414719346707,0.8000000000000004,0.12243250505193314,0.2,1.0
fee_incidence,symmetric_fee_rebate,0.2,0.2,0.0,split,,12,800000,0.46703743146221527,0.5632656250000002,0.10019780295288803,0.1,1.0
fee_incidence,baseline,0.0,0.0,0.0,split,,14,800000,0.7599277455053346,0.6000174999999996,0.12247911148784599,0.2,1.0
fee_incidence,same_net_taker_only_10,0.0,0.1,0.1,split,,1,800000,0.7643615417102398,0.5999968749999998,0.11252611507095318,0.2,1.0
fee_incidence,symmetric_fee_rebate,0.2,0.2,0.0,split,,16,800000,0.45605480829626793,1.0499856250000001,0.09894388678226441,0.1,1.0
fee_incidence,taker_fee_only,0.0,0.2,0.2,split,,2,800000,0.9264385138005701,0.7999962500000003,0.12212085989953154,0.2,1.0
fee_incidence,same_net_taker_only_10,0.0,0.1,0.1,split,,4,800000,1.0002443332268667,0.999910625,0.14421702763709227,0.2,1.0
fee_incidence,symmetric_fee_rebate,0.2,0.2,0.0,split,,0,800000,0.8740515009782899,0.5998612499999998,0.14666771416863092,0.1,1.0
fee_incidence,taker_fee_only,0.0,0.2,0.2,split,,19,800000,0.7659095310726645,0.5999981249999997,0.10290115804120871,0.2,1.0
fee_incidence,maker_rebate_only,0.2,0.0,-0.2,split,,17,800000,0.9801885852354227,0.7999500000000003,0.19262624658550132,0.1,1.0
fee_incidence,taker_fee_only,0.0,0.2,0.2,split,,8,800000,0.7631602951860825,0.5999962499999997,0.10257199944828428,0.2,1.0
fee_incidence,taker_fee_only,0.0,0.2,0.2,split,,7,800000,0.7712457495966364,1.2999625000000004,0.10354004908342904,0.2,1.0
fee_incidence,baseline,0.0,0.0,0.0,split,,10,800000,0.7614546225697152,0.5999968749999998,0.12270961008405257,0.2,1.0
fee_incidence,taker_fee_only,0.0,0.2,0.2,split,,18,800000,0.9268338476816965,0.7999731250000004,0.12216819215817186,0.2,1.0
fee_incidence,same_net_taker_only_10,0.0,0.1,0.1,split,,5,800000,0.7628741402637216,0.6000056249999997,0.1123262823112623,0.2,1.0
fee_incidence,same_net_taker_only_10,0.0,0.1,0.1,split,,11,800000,0.9275397365264259,0.7999537500000004,0.13444914672311867,0.2,1.0
fee_incidence,maker_rebate_only,0.2,0.0,-0.2,split,,16,800000,0.9818085104981199,0.7999918750000004,0.19286192525484752,0.1,1.0
fee_incidence,symmetric_fee_rebate,0.2,0.2,0.0,split,,19,800000,0.9843105665199345,0.7999768750000004,0.15925629370481978,0.1,1.0
fee_incidence,same_net_maker_heavy_10,0.2,0.3,0.09999999999999998,split,,13,800000,0.8847904134152622,0.5999899999999997,0.13442193663237045,0.1,1.0
