sweep,n_makers,maker_rebate,taker_fee,tie_rule,tick_size,seed,periods,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread
inventory_concentration,2,0.0,0.0,split,,6,800000,0.7588178823443988,0.5999974999999997,0.12231156564768311,0.2,1.0
inventory_concentration,2,0.0,0.0,split,,2,800000,0.7605233538845254,0.6000018749999998,0.12256902501035218,0.2,1.0
inventory_concentration,2,0.0,0.0,split,,16,800000,0.7646658042249344,0.5999999999999998,0.12319437266314899,0.2,1.0
inventory_concentration,2,0.0,0.0,split,,17,800000,0.7629750617146999,0.5999762499999997,0.1229391368067417,0.2,1.0
inventory_concentration,2,0.0,0.0,split,,8,800000,0.9257062233017667,0.7999906250000004,0.14750516453740245,0.2,1.0
inventory_concentration,2,0.0,0.0,split,,3,800000,0.9267453802390174,0.7999925000000003,0.1476620365088678,0.2,1.0
inventory_concentration,2,0.0,0.0,split,,4,800000,1.0003307721757477,0.999960625,0.15877054677364627,0.2,1.0
inventory_concentration,2,0.0,0.0,split,,9,800000,0.96786798225193,1.5,0.1538699377587193,0.2,1.0
inventory_concentration,2,0.0,0.0,split,,15,800000,0.9267484745474786,0.7999762500000004,0.147662503628175,0.2,1.0
inventory_concentration,2,0.0,0.0,split,,5,800000,0.8822925218590676,0.7999825000000004,0.1409513970651451,0.2,1.0
inventory_concentration,2,0.0,0.0,split,,13,800000,0.925154360609395,0.7990587500000004,0.14742185489914938,0.2,1.0
inventory_concentration,2,0.0,0.0,split,,1,800000,0.7633429189811456,0.6000012499999997,0.12299466883711804,0.2,1.0
inventory_concentration,2,0.0,0.0,split,,0,800000,0.9249443745564421,0.7999925000000003,0.14739015523480983,0.2,1.0
inventory_concentration,2,0.0,0.0,split,,11,800000,0.9268902649968681,0.7999700000000003,0.14768390842906057,0.2,1.0
inventory_concentration,2,0.0,0.0,split,,14,800000,0.7599277455053346,0.6000174999999996,0.12247911148784599,0.2,1.0
inventory_concentration,2,0.0,0.0,split,,12,800000,0.924887714025688,0.7999831250000004,0.14738160171527392,0.2,1.0
inventory_concentration,2,0.0,0.0,split,,19,800000,0.7638716706164933,0.5999974999999996,0.12307448961151615,0.2,1.0
inventory_concentration,2,0.0,0.0,split,,7,800000,0.7608521152773813,0.5999987499999997,0.12261865509604013,0.2,1.0
inventory_concentration,2,0.0,0.0,split,,10,800000,0.7614546225697152,0.5999968749999998,0.12270961008405257,0.2,1.0
inventory_concentration,2,0.0,0.0,split,,18,800000,0.8434105568756362,0.6999924999999998,0.13508174419294763,0.2,1.0
inventory_concentration,3,0.0,0.0,split,,16,800000,0.4124834106016192,0.5416691666666665,0.051554836140595965,0.2,1.0
inventory_concentration,3,0.0,0.0,split,,18,800000,0.26003034422736415,0.3356241666666666,0.03709506327113102,0.2,1.0
inventory_concentration,3,0.0,0.0,split,,17,800000,0.3728750087015932,0.34999875,0.047798083266955,0.2,1.0
inventory_concentration,3,0.0,0.0,split,,2,800000,0.4780012086377901,0.40000000000000024,0.057769027176838,0.2,1.0
inventory_concentration,3,0.0,0.0,split,,7,800000,0.31860078106507733,0.411115,0.04265031534759365,0.2,1.0
inventory_concentration,3,0.0,0.0,split,,8,800000,0.3709281052108671,0.3500020833333333,0.04761342458514431,0.2,1.0
inventory_concentration,3,0.0,0.0,split,,6,800000,0.26187977674638113,0.3000520833333333,0.03727047708731979,0.2,1.0
inventory_concentration,3,0.0,0.0,split,,14,800000,0.27799715685704274,0.4596075000000001,0.03879916825236909,0.2,1.0
inventory_concentration,3,0.0,0.0,split,,13,800000,0.2638343814498095,0.3026445833333332,0.03745586620892512,0.2,1.0
inventory_concentration,3,0.0,0.0,split,,5,800000,0.7646807389006298,0.5999749999999999,0.08495982754912615,0.2,1.0
inventory_concentration,3,0.0,0.0,split,,10,800000,0.36823302593242374,0.35002833333333333,0.047357803395237735,0.2,1.0
inventory_concentration,3,0.0,0.0,split,,9,800000,0.25611558488305786,0.5426929166666667,0.036723758630932295,0.2,1.0
inventory_concentration,3,0.0,0.0,split,,15,800000,0.5147441394236527,0.4500054166666663,0.06125399764255351,0.2,1.0
inventory_concentration,3,0.0,0.0,split,,0,800000,0.4899869325840501,0.49997458333333306,0.05890584160806478,0.2,1.0
inventory_concentration,3,0.0,0.0,split,,11,800000,0.47756443400617227,0.4000170833333335,0.05772760025038423,0.2,1.0
inventory_concentration,3,0.0,0.0,split,,12,800000,0.2622572234421284,0.36842916666666686,0.03730627691490369,0.2,1.0
inventory_concentration,3,0.0,0.0,split,,19,800000,0.4753738406753531,0.4000104166666669,0.057519828227385036,0.2,1.0
inventory_concentration,3,0.0,0.0,split,,3,800000,0.36851558468500645,0.35003500000000004,0.04738460335067186,0.2,1.0
inventory_concentration,3,0.0,0.0,split,,1,800000,0.5163769822142613,0.4499937499999998,0.061408868491958285,0.2,1.0
inventory_concentration,3,0.0,0.0,split,,4,800000,0.25265741256593305,0.30988125,0.036395760070861746,0.2,1.0
inventory_concentration,4,0.0,0.0,split,,16,800000,0.0954108991373455,0.41002375,0.01862573124258618,0.2,1.0
inventory_concentration,4,0.0,0.0,split,,2,800000,0.11111299437375703,0.6915499999999999,0.019708596290687524,0.2,1.0
inventory_concentration,4,0.0,0.0,split,,8,800000,0.04819135760304779,0.42295,0.015369325626328674,0.2,1.0
inventory_concentration,4,0.0,0.0,split,,15,800000,0.16175678750763925,0.5519300000000001,0.023201148887158008,0.2,1.0
inventory_concentration,4,0.0,0.0,split,,12,800000,0.17418883042214126,0.4928528125000002,0.02405850101411446,0.2,1.0
inventory_concentration,4,0.0,0.0,split,,19,800000,0.1317390908272343,0.5812118750000004,0.02113103569077755,0.2,1.0
inventory_concentration,4,0.0,0.0,split,,11,800000,0.08447848122554596,0.6428096875,0.0178717978935849,0.2,1.0
inventory_concentration,4,0.0,0.0,split,,10,800000,0.14106072399624237,0.5000871874999998,0.021773884342372395,0.2,1.0
inventory_concentration,4,0.0,0.0,split,,0,800000,0.10491472965843758,0.4178909375,0.019281144787047736,0.2,1.0
inventory_concentration,4,0.0,0.0,split,,14,800000,0.08103571887764563,0.36884406250000024,0.017634374354921368,0.2,1.0
inventory_concentration,4,0.0,0.0,split,,18,800000,0.15602235815636628,0.3085209375000001,0.022805684904688935,0.2,1.0
inventory_concentration,4,0.0,0.0,split,,7,800000,0.06930132827627325,0.5199821875,0.01682513448905115,0.2,1.0
inventory_concentration,4,0.0,0.0,split,,1,800000,0.16750619814886564,0.3375296875000002,0.02359764602571369,0.2,1.0
inventory_concentration,4,0.0,0.0,split,,6,800000,0.26703806069589514,0.30004406250000015,0.0304616710810882,0.2,1.0
inventory_concentration,4,0.0,0.0,split,,3,800000,0.04107020050536556,0.40512093750000006,0.014878228609846613,0.2,1.0
inventory_concentration,4,0.0,0.0,split,,5,800000,0.11716440518260382,0.3250309374999998,0.020125920294773773,0.2,1.0
inventory_concentration,4,0.0,0.0,split,,9,800000,0.14847582840125562,0.36166781250000013,0.022285252874235037,0.2,1.0
inventory_concentration,4,0.0,0.0,split,,13,800000,0.27030212129455267,0.3001334375000001,0.03068677079446752,0.2,1.0
inventory_concentration,4,0.0,0.0,split,,4,800000,0.26514556956269153,0.2999921875000001,0.030331159039788405,0.2,1.0
inventory_concentration,4,0.0,0.0,split,,17,800000,0.05477711129030787,0.4158046875,0.015823499567829254,0.2,1.0
