sweep,n_makers,adverse_frac,adverse_cost,elasticity,epsilon_decay,alpha,maker_rebate,taker_fee,tie_rule,tick_size,memory,priority_share,allocation_noise,maker_rebates,maker_costs,latency_cost,seed,periods,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread,punishment_magnitude,fee_condition,net_fee,heterogeneity
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.1,split,,1,0.7,12.0,,,0.0,6,500000,0.8528029648966051,0.6999129999999999,0.13319536347947677,0.2,1.0,0.14285714285714282,net_fee_10_taker10_rebate00,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.1,split,,1,0.7,12.0,,,0.0,7,500000,0.7724549725910297,0.5999959999999998,0.12413604084196017,0.2,1.0,0.6666666666666666,net_fee_10_taker10_rebate00,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.1,split,,1,0.7,12.0,,,0.0,2,500000,0.7721265309330048,0.5998439999999997,0.1240990086914077,0.2,1.0,0.5,net_fee_10_taker10_rebate00,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.1,split,,1,0.7,12.0,,,0.0,9,500000,0.7723435163515088,0.5999439999999998,0.12412347403095705,0.2,1.0,0.33333333333333326,net_fee_10_taker10_rebate00,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.1,split,,1,0.7,12.0,,,0.0,11,500000,0.7724516182260068,0.5999629999999997,0.12413566263369244,0.2,1.0,0.5,net_fee_10_taker10_rebate00,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.1,split,,1,0.7,12.0,,,0.0,4,500000,0.7723886186130351,0.5999759999999997,0.1241285593595026,0.2,1.0,0.0,net_fee_10_taker10_rebate00,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.1,split,,1,0.7,12.0,,,0.0,15,500000,0.7722879953557935,0.5999379999999999,0.12411721397891459,0.2,1.0,0.5,net_fee_10_taker10_rebate00,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.1,split,,1,0.7,12.0,,,0.0,8,500000,0.7723265476004727,0.6000149999999997,0.12412156078600867,0.2,1.0,0.33333333333333326,net_fee_10_taker10_rebate00,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.1,split,,1,0.7,12.0,,,0.0,5,500000,0.7723390393879763,0.5999329999999997,0.12412296924849874,0.2,1.0,-0.3333333333333335,net_fee_10_taker10_rebate00,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.1,split,,1,0.7,12.0,,,0.0,17,500000,0.7722747728959951,0.5999289999999998,0.12411572313233663,0.2,1.0,0.0,net_fee_10_taker10_rebate00,0.1,
